t_stamp,x,y,z,x_dot,y_dot,z_dot
8640.000000,46044669060.695734,516240000.000000,0.000000,-617.006864,59750.000000,0.000000
17280.000000,46034004530.847054,1032346685.177583,0.000000,-1234.320584,59734.570044,0.000000
25920.000000,46018016907.770253,1548185992.426749,0.000000,-1850.419338,59703.623524,0.000000
34560.000000,45996729970.740974,2063625618.992492,0.000000,-2463.765860,59657.364186,0.000000
43200.000000,45970180268.017473,2578537510.922323,0.000000,-3072.882260,59596.283788,0.000000
51840.000000,45938415995.237763,3092800129.517897,0.000000,-3676.420461,59521.136412,0.000000
60480.000000,45901495373.767645,3606300324.158160,0.000000,-4273.220078,59432.892898,0.000000
69120.000000,45859484687.797260,4118934695.609093,0.000000,-4862.347913,59332.681881,0.000000
77760.000000,45812456160.223577,4630610402.004495,0.000000,-5443.116617,59221.725277,0.000000
86400.000000,45760485839.293778,5141245425.374998,0.000000,-6015.083441,59101.275853,0.000000
95040.000000,45703651637.205961,5650768368.225178,0.000000,-6578.032649,58972.562830,0.000000
103680.000000,45642031618.625767,6159117881.136105,0.000000,-7131.946595,58836.749180,0.000000
112320.000000,45575702591.696414,6666241833.428957,0.000000,-7676.970709,58694.901886,0.000000
120960.000000,45504739014.388486,7172096333.473810,0.000000,-8213.377003,58547.974542,0.000000
129600.000000,45429212199.212631,7676644689.080229,0.000000,-8741.529534,58396.800417,0.000000
138240.000000,45349189780.431472,8179856377.316169,0.000000,-9261.854026,58242.093546,0.000000
146880.000000,45264735398.762761,8681706071.580074,0.000000,-9774.812693,58084.455355,0.000000
155520.000000,45175908556.868766,9182172754.672368,0.000000,-10280.884478,57924.384617,0.000000
164160.000000,45082764602.163567,9681238931.360494,0.000000,-10780.550313,57762.288969,0.000000
172800.000000,44985354799.440694,10178889942.795845,0.000000,-11274.282723,57598.496694,0.000000
181440.000000,44883726462.865411,10675113377.749017,0.000000,-11762.538955,57433.267934,0.000000
190080.000000,44777923123.879999,11169898571.300021,0.000000,-12245.756827,57266.804809,0.000000
198720.000000,44667984717.891094,11663236179.599349,0.000000,-12724.352545,57099.260220,0.000000
207360.000000,44553947777.940578,12155117818.914069,0.000000,-13198.719902,56930.745291,0.000000
216000.000000,44435845627.823944,12645535757.821508,0.000000,-13669.230338,56761.335522,0.000000
224640.000000,44313708570.361976,13134482652.675380,0.000000,-14136.233503,56591.075793,0.000000
233280.000000,44187564068.868947,13621951318.028759,0.000000,-14600.058043,56419.984416,0.000000
241920.000000,44057436921.434565,14107934525.335262,0.000000,-15061.012435,56248.056401,0.000000
250560.000000,43923349428.590937,14592424824.818665,0.000000,-15519.385746,56075.266144,0.000000
259200.000000,43785321555.403424,15075414386.809712,0.000000,-15975.448286,55901.569675,0.000000
267840.000000,43643371089.124801,15556894860.043816,0.000000,-16429.452116,55726.906624,0.000000
276480.000000,43497513793.389702,16036857245.368262,0.000000,-16881.631451,55551.202005,0.000000
285120.000000,43347763559.590461,16515291784.016080,0.000000,-17332.202986,55374.367899,0.000000
293760.000000,43194132555.642112,16992187860.073750,0.000000,-17781.366198,55196.305099,0.000000
302400.000000,43036631371.876413,17467533917.020242,0.000000,-18229.303677,55016.904739,0.000000
311040.000000,42875269163.353211,17941317388.272138,0.000000,-18676.181542,54836.049913,0.000000
319680.000000,42710053787.480931,18413524641.565693,0.000000,-19122.149985,54653.617279,0.000000
328320.000000,42540991935.523651,18884140936.776320,0.000000,-19567.343977,54469.478612,0.000000
