t_stamp,x,y,z,x_dot,y_dot,z_dot
8640.000000,0.777244,0.000000,0.000000,0.000090,0.000000,0.000000
17280.000000,2.331748,0.008622,0.000000,0.000180,0.000001,0.000000
25920.000000,4.663396,0.034486,0.000000,0.000270,0.000003,0.000000
34560.000000,7.771948,0.086214,0.000000,0.000360,0.000006,0.000000
43200.000000,11.657032,0.172418,0.000000,0.000450,0.000010,0.000000
51840.000000,16.318148,0.301705,0.000000,0.000539,0.000015,0.000000
60480.000000,21.754670,0.482674,0.000000,0.000629,0.000021,0.000000
69120.000000,27.965841,0.723907,0.000000,0.000719,0.000028,0.000000
77760.000000,34.950779,1.033975,0.000000,0.000808,0.000036,0.000000
86400.000000,42.708474,1.421428,0.000000,0.000898,0.000045,0.000000
95040.000000,51.237788,1.894801,0.000000,0.000987,0.000055,0.000000
103680.000000,60.537458,2.462601,0.000000,0.001076,0.000066,0.000000
112320.000000,70.606095,3.133313,0.000000,0.001165,0.000078,0.000000
120960.000000,81.442186,3.915396,0.000000,0.001254,0.000091,0.000000
129600.000000,93.044092,4.817277,0.000000,0.001343,0.000104,0.000000
138240.000000,105.410051,5.847351,0.000000,0.001431,0.000119,0.000000
146880.000000,118.538179,7.013980,0.000000,0.001519,0.000135,0.000000
155520.000000,132.426470,8.325487,0.000000,0.001607,0.000152,0.000000
164160.000000,147.072795,9.790160,0.000000,0.001695,0.000170,0.000000
172800.000000,162.474908,11.416241,0.000000,0.001783,0.000188,0.000000
181440.000000,178.630443,13.211931,0.000000,0.001870,0.000208,0.000000
190080.000000,195.536915,15.185384,0.000000,0.001957,0.000228,0.000000
198720.000000,213.191724,17.344708,0.000000,0.002043,0.000250,0.000000
207360.000000,231.592154,19.697958,0.000000,0.002130,0.000272,0.000000
216000.000000,250.735374,22.253138,0.000000,0.002216,0.000296,0.000000
224640.000000,270.618442,25.018198,0.000000,0.002301,0.000320,0.000000
233280.000000,291.238302,28.001032,0.000000,0.002387,0.000345,0.000000
241920.000000,312.591789,31.209474,0.000000,0.002471,0.000371,0.000000
250560.000000,334.675631,34.651299,0.000000,0.002556,0.000398,0.000000
259200.000000,357.486445,38.334220,0.000000,0.002640,0.000426,0.000000
267840.000000,381.020746,42.265883,0.000000,0.002724,0.000455,0.000000
276480.000000,405.274943,46.453873,0.000000,0.002807,0.000485,0.000000
285120.000000,430.245342,50.905702,0.000000,0.002890,0.000515,0.000000
293760.000000,455.928149,55.628816,0.000000,0.002973,0.000547,0.000000
302400.000000,482.319471,60.630590,0.000000,0.003055,0.000579,0.000000
311040.000000,509.415317,65.918323,0.000000,0.003136,0.000612,0.000000
319680.000000,537.211600,71.499243,0.000000,0.003217,0.000646,0.000000
328320.000000,565.704139,77.380500,0.000000,0.003298,0.000681,0.000000
336960.000000,594.888662,83.569168,0.000000,0.003378,0.000716,0.000000
345600.000000,624.760805,90.072242,0.000000,0.003457,0.000753,0.000000
354240.000000,655.316117,96.896635,0.000000,0.003536,0.000790,0.000000
362880.000000,686.550058,104.049181,0.000000,0.003615,0.000828,0.000000
371520.000000,718.458006,111.536629,0.000000,0.003693,0.000867,0.000000
